Product Name,Category,Total Qty,Wishlists,Buy Price,Sell Price,URL,Barcode,Manufacturer SKU,ASIN,MSRP,Brand,Weight,Description,Max Qty,Domestic Only,Tax Exempt
Drowned Catacomb,Ixalan,0,0,0.00,7.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/drowned_catacomb/1535063,"","",B075NT6GYH,0.00,"",0.005,"",4,false,false
Emperor's Vanguard,Ixalan,31,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/emperors_vanguard/1535073,,,B075NT3G5Z,0.00,"",0.005,"",4,,false
Entrancing Melody,Ixalan,42,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/entrancing_melody/1535083,,,B075NTBSYF,0.00,"",0.005,"",4,,false
Fathom Fleet Captain,Ixalan,5,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/fathom_fleet_captain/1535093,,,B075NSWBQJ,0.00,"",0.005,"",4,,false
"Gishath, Sun's Avatar",Ixalan,4,0,0.00,9.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/gishath_suns_avatar/1535103,,,B075NVKQ4W,0.00,"",0.005,"",4,,false
Glacial Fortress,Ixalan,3,0,0.00,7.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/glacial_fortress/1535113,"","",B075NTCC4F,0.00,"",0.005,"",4,false,false
Goring Ceratops,Ixalan,30,0,0.00,0.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/goring_ceratops/1535123,,,B075NT7SWQ,0.00,"",0.005,"",4,,false
Herald of Secret Streams - Foil,Ixalan,0,1,0.00,2.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/herald_of_secret_streams__foil/1535133,,,B075NT15MF,0.00,"",0.005,"",4,,false
Dragonskull Summit - Foil,Ixalan,3,0,0.00,7.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/dragonskull_summit__foil/1535143,"","",B075NV1BRZ,0.00,"",0.005,"",4,false,false
Dreamcaller Siren - Foil,Ixalan,2,0,0.00,1.49,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/dreamcaller_siren__foil/1535153,,,B075NSXWJN,0.00,"",0.005,"",4,,false
Drowned Catacomb - Foil,Ixalan,0,0,0.00,9.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/drowned_catacomb__foil/1535163,"","",B075NSWR1L,0.00,"",0.005,"",4,false,false
Emperor's Vanguard - Foil,Ixalan,1,0,0.00,1.49,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/emperors_vanguard__foil/1535173,,,B075NTHPRY,0.00,"",0.005,"",4,,false
Entrancing Melody - Foil,Ixalan,0,0,0.00,4.99,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/entrancing_melody__foil/1535183,,,B075NV766R,0.00,"",0.005,"",4,,false
Fathom Fleet Captain - Foil,Ixalan,2,0,0.00,1.49,http://expeditionjeux.com/catalog/cartes_individuelles_magic-ixalan_block-ixalan/fathom_fleet_captain__foil/1535193,,,B075NT9PMM,0.00,"",0.005,"",4,,false
